Comissão,Data,Hora,Reunião,Texto,Tipo
"Comissão de Agricultura, Pecuária, Abastecimento e Desenvolvimento Rural",04/09/2018,14h11,52843,"https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=Comissão de Agricultura, Pecuária, Abastecimento e Desenvolvimento Rural&tpReuniaoEvento=Reunião Ordinária&dtReuniao=04/09/2018&hrInicio=01/01/1900 14:11:13&hrFim=01/01/1900 17:21:20&origemDiscurso=ESCRIBA&nmLocal=Plenário Principal - CD&nuSessao=52843&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=14:11&sgFaseSessao=&Data=04/09/2018&txApelido=&txFaseSessao=&txTipoSessao=&dtHoraQuarto=14:11&txEtapa=",Reunião Ordinária
Comissão de Relações Exteriores e de Defesa Nacional,25/10/2017,9h18,1607/17,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=Comissão de Relações Exteriores e de Defesa Nacional&tpReuniaoEvento=AP c/ Convidado&dtReuniao=25/10/2017&hrInicio=09:18:00&hrFim=10:54:00&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=1607/17&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=09:18&sgFaseSessao=&Data=25/10/2017&txApelido=&txFaseSessao=&txTipoSessao=Permanente&dtHoraQuarto=09:18&txEtapa=,AP c/ Convidado
Comissão de Segurança Pública e Combate ao Crime Organizado,16/08/2017,15h49,1083/17,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=Comissão de Segurança Pública e Combate ao Crime Organizado&tpReuniaoEvento=AP c/ Convidado&dtReuniao=16/08/2017&hrInicio=15:49:00&hrFim=17:05:00&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=1083/17&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=15:49&sgFaseSessao=&Data=16/08/2017&txApelido=&txFaseSessao=&txTipoSessao=Permanente&dtHoraQuarto=15:49&txEtapa=,AP c/ Convidado
Comissão de Relações Exteriores e de Defesa Nacional,05/07/2017,10h15,0868/17,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=Comissão de Relações Exteriores e de Defesa Nacional&tpReuniaoEvento=AP c/ Convidado&dtReuniao=05/07/2017&hrInicio=10:15:00&hrFim=14:12:00&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=0868/17&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=10:15&sgFaseSessao=&Data=05/07/2017&txApelido=&txFaseSessao=&txTipoSessao=Permanente&dtHoraQuarto=10:15&txEtapa=,AP c/ Convidado
Comissão de Relações Exteriores e de Defesa Nacional,24/05/2017,10h34,0547/17,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=Comissão de Relações Exteriores e de Defesa Nacional&tpReuniaoEvento=AP c/ Convidado&dtReuniao=24/05/2017&hrInicio=10:34:00&hrFim=12:44:00&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=0547/17&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=10:34&sgFaseSessao=&Data=24/05/2017&txApelido=&txFaseSessao=&txTipoSessao=Permanente&dtHoraQuarto=10:34&txEtapa=,AP c/ Convidado
CPI - FUNAI e INCRA,17/05/2017,11h14,0493/17,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=CPI - FUNAI e INCRA&tpReuniaoEvento=Reunião Ordinária&dtReuniao=17/05/2017&hrInicio=11:14:00&hrFim=20:03:00&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=0493/17&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=11:14&sgFaseSessao=&Data=17/05/2017&txApelido=&txFaseSessao=&txTipoSessao=CPI&dtHoraQuarto=11:14&txEtapa=,Reunião Ordinária
Comissão de Relações Exteriores e de Defesa Nacional,17/05/2017,10h18,0495/17,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=Comissão de Relações Exteriores e de Defesa Nacional&tpReuniaoEvento=AP c/ Convidado&dtReuniao=17/05/2017&hrInicio=10:18:00&hrFim=12:41:00&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=0495/17&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=10:18&sgFaseSessao=&Data=17/05/2017&txApelido=&txFaseSessao=&txTipoSessao=Permanente&dtHoraQuarto=10:18&txEtapa=,AP c/ Convidado
,03/05/2017,9h33,0376/17,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=&tpReuniaoEvento=AP c/ Convidado&dtReuniao=03/05/2017&hrInicio=09:33:00&hrFim=11:43:00&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=0376/17&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=09:33&sgFaseSessao=&Data=03/05/2017&txApelido=&txFaseSessao=&txTipoSessao=&dtHoraQuarto=09:33&txEtapa=,AP c/ Convidado
Comissão Especial - PL 7180/14 - Escola sem Partido,18/04/2017,16h04,0830/17,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=Comissão Especial - PL 7180/14 - Escola sem Partido&tpReuniaoEvento=AP c/ Convidado&dtReuniao=18/04/2017&hrInicio=16:04:00&hrFim=18:52:00&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=0830/17&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=16:04&sgFaseSessao=&Data=18/04/2017&txApelido=&txFaseSessao=&txTipoSessao=Especial - PL&dtHoraQuarto=16:04&txEtapa=,AP c/ Convidado
Comissão de Relações Exteriores e de Defesa Nacional,22/11/2016,10h09,1417/16,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=Comissão de Relações Exteriores e de Defesa Nacional&tpReuniaoEvento=AP c/ Ministro&dtReuniao=22/11/2016&hrInicio=10:09:00&hrFim=13:59:00&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=1417/16&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=10:09&sgFaseSessao=&Data=22/11/2016&txApelido=&txFaseSessao=&txTipoSessao=Permanente&dtHoraQuarto=10:09&txEtapa=,AP c/ Ministro
