Data,Discurso,Fase,Hora,Orador,Publicação,Sessão,Sumário
06/11/2018,"https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=5&nuSessao=15.2018.N&nuQuarto=30414&nuOrador=4&nuInsercao=4&dtHorarioQuarto=11:32&sgFaseSessao=HO&Data=06/11/2018&txApelido=JAIR BOLSONARO, PSL-RJ&txFaseSessao=Homenagem&txTipoSessao=Outro Evento&dtHoraQuarto=11:32&txEtapa=",HOMENAGEM,11h32,"JAIR BOLSONARO, PSL-RJ",no_link,15.2018.N,"Transcurso do 30º aniversário de promulgação da Constituição Federal.
"
03/07/2018,"https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=5&nuSessao=170.4.55.O&nuQuarto=41&nuOrador=2&nuInsercao=0&dtHorarioQuarto=16:32&sgFaseSessao=BC&Data=03/07/2018&txApelido=JAIR BOLSONARO, PSL-RJ&txFaseSessao=Breves Comunicações&txTipoSessao=Deliberativa Extraordinária - CD&dtHoraQuarto=16:32&txEtapa=",BREVES COMUNICAÇÕES,16h32,"JAIR BOLSONARO, PSL-RJ",http://imagem.camara.gov.br/dc_20.asp?selCodColecaoCsv=D&txPagina=82&Datain=04/07/2018&txSuplemento=,170.4.55.O,"Contestação a matéria publicada pelo jornal Folha de S.Paulo, de autoria de Mônica Bergamo, a respeito de interpelação ao Parlamentar por passageira em aeroporto de São Paulo, Estado de São Paulo."
24/04/2018,"https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=5&nuSessao=087.4.55.O&nuQuarto=41&nuOrador=2&nuInsercao=0&dtHorarioQuarto=16:40&sgFaseSessao=GE&Data=24/04/2018&txApelido=JAIR BOLSONARO, PSL-RJ&txFaseSessao=Grande Expediente&txTipoSessao=Deliberativa Ordinária - CD&dtHoraQuarto=16:40&txEtapa=",GRANDE EXPEDIENTE,16h40,"JAIR BOLSONARO, PSL-RJ",http://imagem.camara.gov.br/dc_20.asp?selCodColecaoCsv=D&txPagina=87&Datain=25/04/2018&txSuplemento=,087.4.55.O,Agradecimento ao eleitorado do Estado do Espírito Santo pela preferência pelo orador em pesquisas de intenção de voto para a sucessão presidencial.
03/04/2018,"https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=5&nuSessao=058.4.55.O&nuQuarto=43&nuOrador=2&nuInsercao=0&dtHorarioQuarto=12:36&sgFaseSessao=BC&Data=03/04/2018&txApelido=JAIR BOLSONARO, PSL-RJ&txFaseSessao=Breves Comunicações&txTipoSessao=Deliberativa Extraordinária - CD&dtHoraQuarto=12:36&txEtapa=",BREVES COMUNICAÇÕES,12h36,"JAIR BOLSONARO, PSL-RJ",http://imagem.camara.gov.br/dc_20.asp?selCodColecaoCsv=D&txPagina=84&Datain=04/04/2018&txSuplemento=,058.4.55.O,"Exortação ao povo brasileiro para realização de atos públicos a favor da rejeição, pelo Supremo Tribunal Federal, de habeas corpus impetrado em defesa do ex-Presidente Luiz Inácio Lula da Silva."
08/11/2017,"https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=5&nuSessao=339.3.55.O&nuQuarto=19&nuOrador=2&nuInsercao=69&dtHorarioQuarto=17:48&sgFaseSessao=OD&Data=08/11/2017&txApelido=JAIR BOLSONARO, PSC-RJ&txFaseSessao=Ordem do Dia&txTipoSessao=Deliberativa Extraordinária - CD&dtHoraQuarto=17:48&txEtapa=",ORDEM DO DIA,17h48,"JAIR BOLSONARO, PSC-RJ",http://imagem.camara.gov.br/dc_20.asp?selCodColecaoCsv=D&txPagina=242&Datain=09/11/2017&txSuplemento=,339.3.55.O,Improcedência das acusações do Deputado Glauber Braga.
07/11/2017,"https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=5&nuSessao=336.3.55.O&nuQuarto=21&nuOrador=1&nuInsercao=137&dtHorarioQuarto=17:58&sgFaseSessao=OD&Data=07/11/2017&txApelido=JAIR BOLSONARO, PSC-RJ&txFaseSessao=Ordem do Dia&txTipoSessao=Deliberativa Extraordinária - CD&dtHoraQuarto=17:58&txEtapa=",ORDEM DO DIA,17h58,"JAIR BOLSONARO, PSC-RJ",http://imagem.camara.gov.br/dc_20.asp?selCodColecaoCsv=D&txPagina=332&Datain=08/11/2017&txSuplemento=,336.3.55.O,"Apoio à aprovação do Projeto de Lei nº 6.424-A, de 2016, sobre a criação, no âmbito do Tribunal Superior Eleitoral, do Centro Cultural da Justiça Eleitoral - CCJE. Apelo ao Presidente do Tribunal Superior Eleitoral, Ministro Gilmar Mendes, para a implantação do voto impresso nas eleições de 2018."
25/10/2017,"https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=5&nuSessao=322.3.55.O&nuQuarto=71&nuOrador=3&nuInsercao=351&dtHorarioQuarto=16:50&sgFaseSessao=OD&Data=25/10/2017&txApelido=JAIR BOLSONARO, PSC-RJ&txFaseSessao=Ordem do Dia&txTipoSessao=Deliberativa Extraordinária - CD&dtHoraQuarto=16:50&txEtapa=",ORDEM DO DIA,16h50,"JAIR BOLSONARO, PSC-RJ",http://imagem.camara.gov.br/dc_20.asp?selCodColecaoCsv=D&txPagina=269&Datain=26/10/2017&txSuplemento=,322.3.55.O,"Votação nominal do parecer da Comissão de Constituição e Justiça e de Cidadania com conclusão pela inadmissibilidade da denúncia da Procuradoria-Geral da República e pelo indeferimento da solicitação de autorização para a instauração do Processo nº 2, de 2017, pelo Supremo Tribunal Federal, referente à denúncia formulada pelo Ministério Público Federal em desfavor do Presidente Michel Temer e dos Ministros de Estado, Eliseu Lemos Padilha e Wellington Moreira Franco.
"
05/10/2017,"https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=5&nuSessao=293.3.55.O&nuQuarto=15&nuOrador=2&nuInsercao=0&dtHorarioQuarto=09:42&sgFaseSessao=BC&Data=05/10/2017&txApelido=JAIR BOLSONARO, PSC-RJ&txFaseSessao=Breves Comunicações&txTipoSessao=Deliberativa Extraordinária - CD&dtHoraQuarto=09:42&txEtapa=",BREVES COMUNICAÇÕES,9h42,"JAIR BOLSONARO, PSC-RJ",http://imagem.camara.gov.br/dc_20.asp?selCodColecaoCsv=D&txPagina=27&Datain=06/10/2017&txSuplemento=,293.3.55.O,"Anúncio de visita do orador a Belém, Estado do Pará, para participação em debate sobre a política nacional. Congratulações aos Deputados pela garantia da obrigatoriedade de impressão concernente aos votos dados por meio das urnas eletrônicas no Brasil."
04/10/2017,"https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=5&nuSessao=288.3.55.O&nuQuarto=73&nuOrador=2&nuInsercao=0&dtHorarioQuarto=14:04&sgFaseSessao=BC&Data=04/10/2017&txApelido=JAIR BOLSONARO, PSC-RJ&txFaseSessao=Breves Comunicações&txTipoSessao=Deliberativa Extraordinária - CD&dtHoraQuarto=14:04&txEtapa=",BREVES COMUNICAÇÕES,14h04,"JAIR BOLSONARO, PSC-RJ",http://imagem.camara.gov.br/dc_20.asp?selCodColecaoCsv=D&txPagina=74&Datain=05/10/2017&txSuplemento=,288.3.55.O,"Elogio à aprovação, na Comissão de Relações Exteriores e de Defesa Nacional, de projeto de anistia a policiais militares. Contrariedade ao posicionamento do Deputado Vicente Candido sobre a retirada da obrigatoriedade de voto impresso nas eleições de 2018."
04/10/2017,"https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=5&nuSessao=288.3.55.O&nuQuarto=33&nuOrador=2&nuInsercao=0&dtHorarioQuarto=12:44&sgFaseSessao=BC&Data=04/10/2017&txApelido=JAIR BOLSONARO, PSC-RJ&txFaseSessao=Breves Comunicações&txTipoSessao=Deliberativa Extraordinária - CD&dtHoraQuarto=12:44&txEtapa=",BREVES COMUNICAÇÕES,12h44,"JAIR BOLSONARO, PSC-RJ",http://imagem.camara.gov.br/dc_20.asp?selCodColecaoCsv=D&txPagina=39&Datain=05/10/2017&txSuplemento=,288.3.55.O,"Defesa de adoção do voto impresso no Brasil, para possibilidade de auditagem das eleições."
